Web links;;;;
;;;;
;;;;
;;;;
;;;;
Platform;Name;Description;Keywords;URL
/;SET;Social-Engineer Toolkit;freedom , privacy , RI;https://www.trustedsec.com/social-engineer-toolkit/
/;Open GAPPS;;Google Apps, Gapps;http://opengapps.org/
Android;Building a Music Player App for Android;;tuto;http://sapandiwakar.in/building-a-music-player-app-for-android/
Android;Coordinators: solving a problem you didn’t even know you had;;design pattern , MV, Mvx, coordination;https://hackernoon.com/coordinators-solving-a-problem-you-didnt-even-know-you-had-e86623f15eb
Java;When to NOT use RxJava;Should I use RxJava or not ?;RxJava , best practices;http://konmik.com/post/when_to_not_use_rxjava/
Java;Introduction to Functional Reactive Programming;Make reactive programming without RxJava and with functional aspecs;reactive programming , RxJava , functional programming;https://speakerdeck.com/dlew/introduction-to-functional-reactive-programming
Android;Android Things: Electronics 101;;Android Things , Android;https://medium.com/exploring-android/android-things-electronics-101-e7e5cd2f327
/;Open Observatory of Network Interference;;OONI , TOR , privacy , security , network , FOSS , censorship;https://ooni.torproject.org/
/;Open Observatory of Network Interference app;;OONI , TOR , privacy , security , network , FOSS , censorship;https://ooni.torproject.org/post/ooni-mobile-app/
Android;Android MVP starter;Android App starter based on Android + MVP + Dagger2 + RxJava2 + Robolectric + Espresso + Mockito + JaCoCo ;Starter , Android , MVP , Dagger2 , RxJava2 , Robolectric , Espresso , Mockito , JaCoCo;https://github.com/ravidsrk/android-mvp-starter
/;Google’s not-so-secret new OS;;Fuchsia , Magenta , Andromeda , OS;https://techspecs.blog/blog/2017/2/14/googles-not-so-secret-new-os
/;Fuchsia Google Source;;Fuchsia , Magenta , Andromeda , OS;https://fuchsia.googlesource.com/
Web;Mojo;This is an effort to extract a common platform out of Chrome's renderer and plugin processes that can support multiple types of sandboxed content, such as HTML, Pepper, or NaCl.;Chromium , Mojo;https://www.chromium.org/developers/design-documents/mojo
/;The 9 Types of Programmers and Why Some are Better than Others;;medium;https://hackernoon.com/the-9-types-of-programmers-and-why-some-are-better-than-others-2015b0feea2e
/;How I stay up-to-date as a Developer;;medium;https://hackernoon.com/how-do-i-stay-up-to-date-as-a-developer-5ec773e30a82
/;Seniority;;medium;https://hackernoon.com/people-use-different-words-to-classify-engineer-skill-some-companies-give-you-more-senior-role-6961c79e6c1b
