Devices;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Type;OS;Constructor;Name;Screen size;Screen type;Screen resolution;SoC;GPU;Sensors;Battery;Storage;RAM;Camera;Dimensions;Weight;IP;USB Type;SD Card;SIM;UI
smartphone;Android;Huawei;Honor Magic;5.09'';AMOLED;1440 x 2560 px = Quad HD;Huawei HiSilicon KIRIN 950;ARM Cortex A72 , ARM Cortex A53;Hall sensor , fingerprint , proximity , light , accelerometer , compass  , Bluetooth , NFC , GPS , Wi-Fi;2900 mAh , Li-Polymer;64 GB;4 GB;CMOS    f/2.2    11.81 MP    (back) , 7.99 MP    (front);146.1 x 69.9 x 7.8 mm;145 g;no;2.0 , C;no;nano;EMUI
smartphone;Android;Huawei;P 10;5.1‘’;IPS;1080 x 1920 px = Full HD;Huawei HiSilicon KIRIN 960;ARM Mali-G71 MP8;Hall sensor , fingerprint , proximity , light , accelerometer , compass  , Bluetooth , NFC , GPS , Wi-Fi;3200 mAh , Li-Polymer;32 GB , 64 GB , 128 GB;4 GB;CMOS    f/1.8    12.19 MP    (back) , 7.99 MP    (front);145.3 x 69.3 x 6.98 mm;145 g;no;2.0 , C;microSD;nano , nano;EMUI
smartphone;Android;Xiaomi;Redmi Note 4;5.5'';IPS;1080 x 1920 px = Full HD;MediaTek Helio X20;ARM Mali-T880 MP4;Hall sensor , fingerprint , proximity , light , accelerometer , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;4100 mAh , Li-Polymer;64 GB;3 GB;CMOS   f/2.0   12.98 MP    (back) ,  5.04 MP    (front);151 x 76 x 8.35 mm;175 g;no;2.0 , micro-B;microSD;micro , nano;MIUI
smartphone;Android;Fairphone;Fairphone 2;5'';IPS;1080 x 1920 px = Full HD;Qualcomm Snapdragon 801;Qualcomm Adreno 330;proximity , light , accelerometer , compass , gyroscope , Bluetooth  , GPS , Wi-Fi;2420 mAh , Li-Ion;32 GB;2 GB;OmniVision OV8865    CMOS BSI    4.61 x 3.47    1.414 µm    f/2.2    7.99 MP (back) , 1.91 MP (front);143 x 73 x 11 mm;148 g;no;2.0 , micro-B;microSD;micro;?
smartphone;Android;Acer;Liquid Z6 Plus;5.5'';IPS;1080 x 1920 px = Full HD;MediaTek MT6753;ARM Mali-T720 MP3;prroximity , light , accelerometer , fingerprint , Wi-Fi , GPS , Bluetooth;4080 mAh , Li-Polymer;32 GB;3 GB;CMOS    12.98 MP    (front) , 5.04 MP    (back);153.6 x 75.4 x 8.5 mm;168 g;no;2.0 , micro-B;microSD;? , ?;Liquid UI
smartphone;Android;Wiko;U Feel Prime;5'';IPS;1080 x 1920 px = Full HD;Qualcomm Snapdragon 430;Qualcomm Adreno 505;fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS;3000 mAh , Li-Polymer;32 GB;4 GB;Sony Exmor IMX 298   CMOS    4.71 x 3.3 mm    1.133 µm    12.98 MP    (back) ,  7.99 MP    (front);142.5 x 69.9 x 8.7 mm;150 g;no;2.0 , micro-B;microSD;nano , nano;?
smartphone;Android;Wiko;U Pulse;5.5’’;IPS;720 x 1280 px = HD;MediaTek MT6737;ARM Mali-T720 MP2;fingerprint , light , accelerometer , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;3000 mAh , Li-Polymer;32 GB , 64 GB;3 GB;CMOS     12.98 MP    (back) , 7.99 MP     (front);153.5 x 77.5 x 8.5 mm;167 g;no;2.0 , micro-B;microSD;micro;?
smartphone;Android;Motorola;Moto Z Force;5.5'';AMOLED;1440 x 2560 px = Quad HD;Qualcomm Snapdragon 820;Qualcomm Adreno 530;Hall sensor , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;3500 mAh , Li-Ion;32 GB , 64 GB;4 GB;Sony Exmor IMX 230 RS    CMOS    5.99 x 4.5 mm    f/1.8    21.16 MP    (back) , 5.04 MP    (front);155.9 x 75.8 x 6.99 mm;163 g;no;2.0 , C;microSD;nano;?
smartphone;Android;Google;Pixel;5'';AMOLED , 441 ppp;1080 x 1920 px = Full HD;Qualcomm Snapdragon 821;Qualcomm Adreno 530;? , daydream ready , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS;2770 mAh , Li-Ion;32 GB , 128 GB;4 GB;Sony IMX78     CMOS    f/2.0    6.25 x 4.65mm    1.544µm    12 MP    (back) , 8 MP    (front);143.8 x 69.5 x 8.6 mm;143 g;IP 53;3.0 , C;no;nano;Vanilla-like
smartphone;Android;Google;Pixel XL;5.5'';AMOLED , 577 ppp;1440 x 2560 px = Quad HD;Qualcomm Snapdragon 821;Qualcomm Adreno 530;? , daydream ready , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS;3450 mAh , Li-Ion;32 GB , 128 GB;4 GB;Sony IMX78     CMOS    f/2.0    6.25 x 4.65mm    1.544µm    12 MP    (back) , 8 MP    (front);154.7 x 75.7 x 8.6 mm;152 g;IP 53;3.0 , C;no;nano;Vanilla-like
